strike,bid,ask,lastPrice,impliedVolatility,midPrice
200.0,0.0,0.05,0.05,2.6406283984375003,0.025
400.0,0.0,0.15,0.05,2.2343794140624995,0.075
600.0,0.0,0.05,0.05,1.7578137109375,0.025
800.0,0.0,0.05,0.05,1.5390648046875,0.025
1000.0,0.0,0.1,0.08,1.423831005859375,0.05
1200.0,0.05,0.15,0.1,1.3398470507812497,0.1
1400.0,0.0,0.3,0.35,1.2460975195312498,0.15
1600.0,0.1,0.2,0.25,1.1328168359375002,0.15000000000000002
1800.0,0.1,0.25,0.3,1.0439500927734378,0.175
2000.0,0.15,0.4,0.25,0.9882813671875,0.275
2100.0,0.2,0.35,0.25,0.9448247705078124,0.275
2200.0,0.25,0.45,0.5,0.92187578125,0.35
2300.0,0.3,0.45,0.6,0.8867198828124999,0.375
2400.0,0.3,0.45,0.55,0.8481460498046874,0.375
2500.0,0.35,0.6,0.53,0.8281267187499999,0.475
2600.0,0.45,0.6,0.7,0.79883013671875,0.525
2700.0,0.5,0.7,0.69,0.7729514892578125,0.6
2800.0,0.55,0.8,1.25,0.7468287036132812,0.675
2900.0,0.65,0.9,1.25,0.7227810925292968,0.775
3000.0,0.8,1.0,1.3,0.700198310546875,0.9
3050.0,0.85,1.05,1.9,0.6877472631835939,0.95
3100.0,0.95,1.1,1.25,0.676883114013672,1.025
3150.0,1.05,1.15,1.6,0.6657748266601564,1.1
3200.0,1.05,1.25,1.3,0.6530796411132813,1.15
3250.0,1.2,1.35,1.85,0.6444127355957032,1.275
3300.0,1.3,1.45,2.1,0.6340368627929689,1.375
3350.0,1.3,1.55,2.55,0.6210975390625001,1.425
3400.0,1.5,1.7,1.8,0.6136513244628907,1.6
3450.0,1.55,1.75,2.2,0.6005899316406251,1.65
3500.0,1.75,1.9,2.3,0.5922892333984376,1.825
3525.0,1.8,2.0,1.95,0.5874675042724609,1.9
3550.0,1.9,2.05,2.66,0.582584740600586,1.9749999999999999
3575.0,1.95,2.1,4.0,0.5767864587402343,2.025
3600.0,1.95,2.15,3.4,0.5701947277832031,2.05
3625.0,2.0,2.2,4.14,0.5643964459228517,2.1
3650.0,2.1,2.35,4.0,0.5608564422607423,2.225
3675.0,2.2,2.4,2.75,0.5557295404052736,2.3
3700.0,2.35,2.5,4.44,0.5518843640136719,2.425
3725.0,2.35,2.55,2.9,0.5452315985107423,2.45
3750.0,2.45,2.65,4.0,0.540592973022461,2.55
3775.0,2.45,2.7,3.56,0.5339402075195312,2.575
3800.0,2.65,2.8,3.21,0.530400203857422,2.7249999999999996
3825.0,2.7,2.9,3.9,0.5249681292724608,2.8
3850.0,2.8,3.0,4.1,0.5200243310546875,2.9
3875.0,2.85,3.1,4.05,0.5145007046508788,2.975
3900.0,2.9,3.2,3.3,0.5089160437011719,3.05
